key_cricsheet,cricsheet_name,unique_name,full_name,sex,birth_date,birth_place,birth_nation,death_date
402d5937,MJ Saggers,Martin John Saggers,Martin Saggers,male,1972-05-23,King's Lynn,England,
40849abd,Lauren Agenbag,Lauren Agenbag,Lauren Agenbag,female,1996-08-16,Centurion,England,
4339c19d,RSA Palliyaguruge,Ruchira Shaman Akmeemana Palliyaguruge,Ruchira Palliyaguruge,male,1968-01-22,Matara,Sri Lanka,
448f4f1c,CM Brown,Christopher Mark Brown,Chris Brown,male,1973-03-27,Rarotonga,Cook Islands,
464daf41,D Brigham,Daryl Brigham,Daryl Brigham,male,1975-02-26,,,
4950c8db,RR Wimalasiri,Raja Raveendra Wimalasiri,Raveendra Wimalasiri,male,1969-08-19,Colombo,Sri Lanka,
5b038989,S Redfern,Suzanne Redfern,Sue Redfern,female,1977-10-26,Mansfield,England,
5b2fe85b,Nasir Hussain,Nasir Hussain,Nasir Hussain,male,,,,
5d45bb7f,P Sizara,Percival Sizara,Percival Sizara,male,1988-11-24,Harare,Zimbabwe,
5dee559a,LS Reifer,Leslie St Auburn Reifer,Leslie Reifer,male,1989-09-05,St George,Barbados,
5e39110e,I Chabi,Iknow Chabi,Iknow Chabi,male,1984-06-18,Harare,Zimbabwe,
5f925536,T Musakwa,Tafadzwa Musakwa,Tafadzwa Musakwa,male,1984-05-22,Harare,Zimbabwe,
634b11ac,A Paleker,Allahuddien Paleker,Allahuddien Paleker,male,1978-01-01,Cape Town,South Africa,
63896abb,Sharfuddoula,Sharfuddoula Ibne Shahid Saikat,Sharfuddoula,male,1976-10-16,Dhaka,Bangladesh,
63cbf8d8,WR Knights,Wayne Roger Knights,Wayne Knights,male,1970-08-25,Auckland,New Zealand,
64495506,N Duguid,Nigel Duguid,Nigel Duguid,male,1969-11-25,Georgetown,Guyana,
671398e3,DK Butler,Deighton Kelvin Butler,Deighton Butler,male,1974-07-14,South Rivers,Saint Vincent and the Grenadines,
67a7c2ee,Kim Cotton,Kim Diane Cotton,Kim Cotton,female,1978-02-24,Auckland,New Zealand,
689f2eed,SAJ Craig,Shawn Andrew Jacob Craig,Shawn Craig,male,1973-06-23,Melbourne,Australia,
6a4734ae,L Rusere,Langton Rusere,Langton Rusere,male,1985-07-07,Masvingo,Zimbabwe,
6b35790c,Asif Yaqoob,Asif Yaqoob,Asif Yaqoob,male,1973-11-11,Sargodha,Pakistan,
6b6d6623,Humaira Farah,Humaira Farah,Humaira Farah,female,,,,
6b992a6f,Shathira Jakir,Shathira Jakir Jessy,Shathira Jakir,female,1990-11-30,Lalmonirhat,Bangladesh,
6c068720,Nur Hijrah,Nur Hijrah,Nur Hijrah,female,,,,
6cc1d918,K Klaaste,Kerrin Klaaste,Kerrin Klaaste,female,1998-03-03,,,
6d10c034,DM Koch,Donovan Marius Koch,Donovan Koch,male,1976-10-11,Somerset West,South Africa,
6e226c31,LDVV Silva,Lidamulage Dedunu Vindya Wijayanthi de Silva,Dedunu de Silva,female,1978-02-12,Colombo,Sri Lanka,
6fa3258c,AT Holdstock,Adrian Thomas Holdstock,Adrian Holdstock,male,1970-04-27,Cape Town,South Africa,
70d117de,A Jacobs,Arno Jacobs,Arno Jacobs,male,1977-03-13,Potchefstroom,South Africa,
75b42f71,C Black,Cory Alan Black,Cory Black,male,1980-10-19,Invercargill,New Zealand,
76752ac8,MA Gough,Michael Andrew Gough,Michael Gough,male,1979-12-18,Hartlepool,England,
7bb1331e,BP Jele,Bongani Patrick Jele,Bongani Jele,male,1986-04-01,Pretoria,South Africa,
7d98d385,WRP Fernando,Warnakolasooriya Rose Priyanka Fernando,Rose Dovey,female,1979-07-28,Wennappuwa,Sri Lanka,
7fc47de1,Afia Amin,Afia Amin,Afia Amin,female,1982-03-26,,,
811655b3,SB Haig,Shaun Barry Haig,Shaun Haig,male,1982-03-19,Auckland,New Zealand,
8275b04a,J Madanagopal,Jayaraman Madanagopal,Jayaraman Madanagopal,male,1974-11-07,Chennai,India,
86197ea5,H Yerzal,Hemangi Yerzal,Hemangi Yerzal,male,,,,
862c0b16,Aidan Seaver,Aidan Seaver,Aidan Seaver,male,1976-05-15,Dublin,Ireland,
8a604384,R Pandit,Rohan Pandit,Rohan Pandit,male,1981-01-13,,,
90d95b82,AY Harris,Anna Yolanda Harris,Anna Harris,female,1998-10-15,High Wycombe,England,
9581ac6b,Masudur Rahman,Masudur Rahman Mukul,Masudur Rahman,male,1975-04-13,Dhaka,Bangladesh,
9a1405c8,Imran Javed,Imran Javed,Imran Javed,male,1975-04-20,Karachi,Pakistan,
9b3f9323,SJ Nogajski,Sam J Nogajski,Sam Nogajski,male,1979-01-01,Hobart,Australia,
9bc8dcec,KS Jagannathan,Kannan Sudarsanam Jagannathan,Kannan Jagannathan,male,1986-07-26,Chennai,India,
9d1c62d7,RJ Warren,Russell John Warren,Russell Warren,male,1971-09-10,Northampton,England,
a3357a27,Vinod Seshan,Vinod Seshan,Vinod Seshan,male,1979-11-27,Dombivali,India,
a4af5528,GA Abood,Gerard Anthony Abood,Gerard Abood,male,1972-02-28,Sydney,Australia,
a7a49df4,VK Sharma,Virender Kumar Sharma,Virender Sharma,male,1971-09-11,Hamirpur,India,
a7c3cf5f,Morshed Ali Khan,Mohammad Morshed Ali Khan,Morshed Ali Khan,male,1973-05-14,Faridpur,Bangladesh,
a8e0ed6a,G Bambury,Grace Bambury,Grace Bambury,female,,,,
a9421c64,KM Gandhi,Kaushik Mohan Gandhi,Kaushik Gandhi,male,1990-02-23,Dhindukal,India,
aa4063d0,M Kuppuraj,Madanagopal Kuppuraj,Madanagopal Kuppuraj,male,1976-03-31,,,
ac886e6f,SE Dionysius,Stephen Edward Dionysius,Stephen Dionysius,male,1980-06-13,Mackay,Australia,
b3bd0666,M Burns,Michael Burns,Mike Burns,male,1969-02-06,Barrow-in-Furness,England,
b61d9d70,JM Williams,Jacqueline Monique Williams,Jacqueline Williams,female,1976-03-04,Ashton,Jamaica,
b940a2b2,D Taylor,David Taylor,David Taylor,male,1974-04-06,,,
bada879d,Farooq Ali Khan,Farooq Ali Khan,Farooq Ali Khan,male,,,,
c21b184d,AS Guha,Ankita Shyamlal Guha,Ankita Guha,female,1986-08-18,Nagpur,India,
c3017af3,M Moyo,Matsiliso Moyo,Matsiliso Moyo,female,1977-02-08,Gwanda,Zimbabwe,
c9354f29,PR Reiffel,Paul Ronald Reiffel,Paul Reiffel,male,1966-04-19,Box Hill,Australia,
ca6bf044,Zahid Bassarath,Zahid Bassarath,Zahid Bassarath,male,1983-05-11,Moruga,Trinidad and Tobago,
d06a665d,N Janani,Narayanan Janani,Narayanan Janani,female,1985-04-28,Chennai,India,
d17d21d5,Saleema Imtiaz,Saleema Imtiaz,Saleema Imtiaz,female,1971-12-18,,,
d3e83eef,F Mutizwa,Forster Mutizwa,Forster Mutizwa,male,1985-08-24,Harare,Zimbabwe,
d5ac41d8,CB Gaffaney,Christopher Blair Gaffaney,Chris Gaffaney,male,1975-11-30,Dunedin,New Zealand,
d7f3b72f,JS Wilson,Joel Sheldon Wilson,Joel Wilson,male,1966-12-30,,Trinidad and Tobago,
d8d43840,Eloise Sheridan,Eloise Sheridan,Eloise Sheridan,female,1985-09-03,Maitland,Australia,
ddcd1520,James Middlebrook,James Daniel Middlebrook,James Middlebrook,male,1977-05-13,Leeds,England,
e0e5b209,Ahsan Raza,Ahsan Raza,Ahsan Raza,male,1974-05-29,Lahore,Pakistan,
e1d41d9e,Nitin Menon,Nitin Narendra Menon,Nitin Menon,male,1983-11-02,Indore,India,
e298c588,M Krishnadas,Mohit Krishnadas,Mohit Krishnadas,male,1985-05-06,Chennai,India,
e50baa87,Siphelele Gasa,Siphelele Gasa,Siphelele Gasa,male,1984-02-29,Pretoria,South Africa,
e93c3cf8,TC Mokorosi,Thomas Chobokoane Mokorosi,Thomas Mokorosi,male,1981-02-09,Maseru,Lesotho,
ea123ee4,M Hawthorne,Mark Hawthorne,Mark Hawthorne,male,1962-02-16,Belfast,Northern Ireland,
ea2df1f1,Tanvir Ahmed,Tanvir Ahmed,Tanvir Ahmed,male,1972-10-03,Dhaka,Bangladesh,
ed0bc503,Faisal Afridi,Faisal Khan Afridi,Faisal Afridi,male,1977-12-31,Sargodha,Pakistan,
f02778d1,Aleem Dar,Aleem Sarwar Dar,Aleem Dar,male,1968-06-06,Jhang,Pakistan,
f0df3ed7,Gazi Sohel,Gazi Ashraful Afsar Sohel,Gazi Sohel,male,1979-08-13,Munshiganj,Bangladesh,
f7ad4494,Jonathan Kennedy,Jonathan Kennedy,Jonathan Kennedy,male,1971-07-12,Ballymena,Northern Ireland,
f7e8ee52,BC Treloar,Benjamin Clifford Treloar,Ben Treloar,male,1982-07-12,,,
fa6ba429,S Gogwe,Stanley Gogwe,Stanley Gogwe,male,1989-02-13,Harare,Zimbabwe,
fb82725e,Rashid Riaz,Rashid Riaz,Rashid Riaz,male,1976-02-27,Chiniot,Pakistan,
fdcfd4aa,Stephen Harris,Stephen David Harris,Stephen Harris,male,1980-07-05,Port Elizabeth,South Africa,
0c677650,Philip Thompson,Philip Thompson,Philip Thompson,male,1964-05-01,Belfast,Northern Ireland,
112b8472,JW Lloyds,Jeremy William Lloyds,Jeremy Lloyds,male,1954-11-17,Penang,Malaysia,2022-11-21
29859e71,Akhtar Ahmad,Akhtar Ahmad,Akhtar Ahmad,male,1959-09-16,,,
2e760301,JJ Crowe,Jeffrey John Crowe,Jeff Crowe,male,1958-09-14,Auckland,New Zealand,
410e2f12,RB Richardson,Richard Benjamin Richardson,Richie Richardson,male,1962-01-12,Five Islands Village,Antigua and Barbuda,
46f4a901,G McCrea,Graham McCrea,Graham McCrea,male,1966-11-29,Bready,Londonderry,
4bacee3d,V Narayan Kutty,Vengalil Narayanan Kutty,Narayanan Kutty,male,1967-05-25,Kozhikhode,India,
4c5c47a4,J Chibhabha,Julia Chibhabha,Julia Chibhabha,female,1982-09-17,Bulawayo,Zimbabwe,
573fb985,NJ Llong,Nigel James Llong,Nigel Llong,male,1969-02-11,Ashford,England,
57910393,RS Mahanama,Roshan Siriwardene Mahanama,Roshan Mahanama,male,1966-05-31,Colombo,Sri Lanka,
685d3f80,AJ Pycroft,Andrew John Pycroft,Andy Pycroft,male,1956-06-06,Harare,Zimbabwe,
766b5798,RS Madugalle,Ranjan Senerath Madugalle,Ranjan Madugalle,male,1959-04-22,Kandy,Sri Lanka,
790e14d3,MR Benson,Mark Richard Benson,Mark Benson,male,1958-07-06,Shoreham-by-Sea,England,
7ba18406,SM Bartlett,Sarah Marie Bartlett,Sarah Bartlett,female,1981-12-07,Tottenham,England,
a7c9f985,AV Narvekar,Anupa Vinayak Narvekar,Anupa Narvekar,female,1981-03-25,Margao,India,
aa782370,Dave Gilbert,David Robert Gilbert,Dave Gilbert,male,1960-12-29,Sydney,Australia,
aac9f784,DA Cosker,Dean Andrew Cosker,Dean Cosker,male,1978-01-07,Weymouth,England,
ba8d5615,GS Lakshmi,GS Lakshmi,GS Lakshmi,female,1968-05-23,Rajahmundry,India,
bad31fac,J Srinath,Javagal Srinath,Javagal Srinath,male,1969-08-31,Mysore,India,
bd81a027,Neeyamur Rashid,Neeyamur Rashid Rahul,Neeyamur Rashid,male,1975-01-01,Pabna,Bangladesh,
bde2d0ea,Muhammad Javed,Muhammad Javed Malik,Muhammad Javed,male,1964-12-25,Multan,Pakistan,
d15e60c8,SA Fritz,Shandre Alvida Fritz,Shandre Fritz,female,1985-07-21,Cape Town,South Africa,
d6a7dd38,BC Broad,Brian Christopher Broad,Chris Broad,male,1957-09-29,Knowle,England,
e79a1fe3,DC Boon,David Clarence Boon,David Boon,male,1960-12-29,Launceston,Australia,
f4e52218,SR Das,Supriya Rani Das,Supriya Das,female,1987-09-20,Narayanganj,Bangladesh,
f52ddf8d,TL Anderson,Trudy Lee Anderson,Trudy Anderson,female,1959-08-26,Dunedin,New Zealand,
f9a4a039,JM Pereira,Jereleen Michell Pereira,Michell Pereira,female,1982-08-12,Trincomale,Sri Lanka,
